var,val,visit
qa sd,0.219445,109972017080_23
nqa mean,0.302755,109972017080_23
nqa sd,0.178075,109972017080_23
dti_fa mean,0.393329,109972017080_23
dti_fa sd,0.206726,109972017080_23
md mean,0.36794,109972017080_23
md sd,0.073931,109972017080_23
ad mean,0.531783,109972017080_23
ad sd,0.105394,109972017080_23
rd mean,0.284805,109972017080_23
rd sd,0.105259,109972017080_23
gfa mean,0.0924461,109972017080_23
gfa sd,0.0478093,109972017080_23
iso mean,0.839898,109972017080_23
iso sd,0.114548,109972017080_23
rdi02L mean,0.649652,109972017080_23
rdi02L sd,0.0716478,109972017080_23
rdi04L mean,1.02618,109972017080_23
rdi04L sd,0.146497,109972017080_23
rdi06L mean,1.12407,109972017080_23
rdi06L sd,0.111044,109972017080_23
rdi08L mean,1.12493,109972017080_23
rdi08L sd,0.111397,109972017080_23
rdi10L mean,1.1252,109972017080_23
rdi10L sd,0.11202,109972017080_23
rdi12L mean,1.12542,109972017080_23
rdi12L sd,0.112476,109972017080_23
nrdi02L mean,0.475044,109972017080_23
nrdi02L sd,0.0459394,109972017080_23
nrdi04L mean,0.0939864,109972017080_23
nrdi04L sd,0.024474,109972017080_23
nrdi06L mean,0.00143171,109972017080_23
nrdi06L sd,0.00818822,109972017080_23
nrdi08L mean,0.000573498,109972017080_23
nrdi08L sd,0.00405567,109972017080_23
nrdi10L mean,0.000248926,109972017080_23
nrdi10L sd,0.00145889,109972017080_23
nrdi12L mean,0,109972017080_23
nrdi12L sd,0,109972017080_23
number of tracts,75,109972017080_24
tract length mean(mm),106.84,109972017080_24
tract length sd(mm),19.8674,109972017080_24
tracts volume (mm^3),4560,109972017080_24
qa mean,0.240903,109972017080_24
qa sd,0.154398,109972017080_24
nqa mean,0.197374,109972017080_24
nqa sd,0.126499,109972017080_24
dti_fa mean,0.279197,109972017080_24
dti_fa sd,0.201829,109972017080_24
md mean,0.368809,109972017080_24
md sd,0.115221,109972017080_24
ad mean,0.465709,109972017080_24
ad sd,0.0914929,109972017080_24
rd mean,0.320359,109972017080_24
rd sd,0.136271,109972017080_24
gfa mean,0.064619,109972017080_24
gfa sd,0.0356416,109972017080_24
iso mean,0.819181,109972017080_24
iso sd,0.138252,109972017080_24
rdi02L mean,0.611081,109972017080_24
rdi02L sd,0.11378,109972017080_24
rdi04L mean,0.970998,109972017080_24
rdi04L sd,0.177748,109972017080_24
rdi06L mean,1.0628,109972017080_24
rdi06L sd,0.191437,109972017080_24
rdi08L mean,1.06581,109972017080_24
rdi08L sd,0.192165,109972017080_24
rdi10L mean,1.0673,109972017080_24
rdi10L sd,0.192301,109972017080_24
rdi12L mean,1.06838,109972017080_24
rdi12L sd,0.192216,109972017080_24
nrdi02L mean,0.457304,109972017080_24
nrdi02L sd,0.0863404,109972017080_24
nrdi04L mean,0.0973845,109972017080_24
nrdi04L sd,0.035386,109972017080_24
nrdi06L mean,0.00558818,109972017080_24
nrdi06L sd,0.0148582,109972017080_24
nrdi08L mean,0.00257137,109972017080_24
nrdi08L sd,0.00675473,109972017080_24
nrdi10L mean,0.00108408,109972017080_24
nrdi10L sd,0.00250634,109972017080_24
nrdi12L mean,0,109972017080_24
nrdi12L sd,0,109972017080_24
number of tracts,24008,109972017080_26
tract length mean(mm),74.658,109972017080_26
tract length sd(mm),24.187,109972017080_26
tracts volume (mm^3),86928,109972017080_26
qa mean,0.232067,109972017080_26
qa sd,0.107256,109972017080_26
nqa mean,0.190135,109972017080_26
nqa sd,0.0878605,109972017080_26
dti_fa mean,0.303752,109972017080_26
dti_fa sd,0.184636,109972017080_26
md mean,0.353109,109972017080_26
md sd,0.107711,109972017080_26
ad mean,0.452139,109972017080_26
ad sd,0.0848043,109972017080_26
rd mean,0.303731,109972017080_26
rd sd,0.125149,109972017080_26
gfa mean,0.0650122,109972017080_26
gfa sd,0.0307207,109972017080_26
iso mean,0.79962,109972017080_26
iso sd,0.136049,109972017080_26
rdi02L mean,0.600534,109972017080_26
rdi02L sd,0.0644736,109972017080_26
rdi04L mean,0.954036,109972017080_26
rdi04L sd,0.111835,109972017080_26
rdi06L mean,1.04377,109972017080_26
rdi06L sd,0.135397,109972017080_26
rdi08L mean,1.04572,109972017080_26
rdi08L sd,0.141496,109972017080_26
rdi10L mean,1.04637,109972017080_26
rdi10L sd,0.143749,109972017080_26
rdi12L mean,1.04661,109972017080_26
rdi12L sd,0.143905,109972017080_26
nrdi02L mean,0.446086,109972017080_26
nrdi02L sd,0.0854731,109972017080_26
nrdi04L mean,0.0923147,109972017080_26
nrdi04L sd,0.0440333,109972017080_26
nrdi06L mean,0.00283623,109972017080_26
nrdi06L sd,0.0168808,109972017080_26
nrdi08L mean,0.000895042,109972017080_26
nrdi08L sd,0.00579237,109972017080_26
nrdi10L mean,0.000246981,109972017080_26
nrdi10L sd,0.00122083,109972017080_26
nrdi12L mean,0,109972017080_26
nrdi12L sd,0,109972017080_26
number of tracts,16663,109972017080_27
tract length mean(mm),64.8398,109972017080_27
tract length sd(mm),13.4486,109972017080_27
tracts volume (mm^3),45720,109972017080_27
qa mean,0.180066,109972017080_27
qa sd,0.0693051,109972017080_27
nqa mean,0.147531,109972017080_27
nqa sd,0.0567725,109972017080_27
dti_fa mean,0.266934,109972017080_27
dti_fa sd,0.143094,109972017080_27
md mean,0.346434,109972017080_27
md sd,0.0841952,109972017080_27
ad mean,0.433812,109972017080_27
ad sd,0.0679428,109972017080_27
rd mean,0.302744,109972017080_27
rd sd,0.0993317,109972017080_27
gfa mean,0.0590161,109972017080_27
gfa sd,0.0236374,109972017080_27
iso mean,0.712284,109972017080_27
iso sd,0.0979037,109972017080_27
rdi02L mean,0.537804,109972017080_27
rdi02L sd,0.0467938,109972017080_27
rdi04L mean,0.851921,109972017080_27
rdi04L sd,0.079941,109972017080_27
rdi06L mean,0.92797,109972017080_27
rdi06L sd,0.0989931,109972017080_27
rdi08L mean,0.928802,109972017080_27
rdi08L sd,0.10073,109972017080_27
rdi10L mean,0.92909,109972017080_27
rdi10L sd,0.101409,109972017080_27
rdi12L mean,0.929309,109972017080_27
rdi12L sd,0.101526,109972017080_27
nrdi02L mean,0.391515,109972017080_27
nrdi02L sd,0.0586344,109972017080_27
nrdi04L mean,0.0774663,109972017080_27
nrdi04L sd,0.0268702,109972017080_27
nrdi06L mean,0.00132847,109972017080_27
nrdi06L sd,0.00754845,109972017080_27
nrdi08L mean,0.000515061,109972017080_27
nrdi08L sd,0.00295551,109972017080_27
nrdi10L mean,0.000218322,109972017080_27
nrdi10L sd,0.000918413,109972017080_27
nrdi12L mean,0,109972017080_27
nrdi12L sd,0,109972017080_27
number of tracts,989402,109972017080_2
tract length mean(mm),36.0814,109972017080_2
tract length sd(mm),24.7916,109972017080_2
tracts volume (mm^3),320472,109972017080_2
qa mean,0.230429,109972017080_2
qa sd,0.0961746,109972017080_2
nqa mean,0.194383,109972017080_2
nqa sd,0.0668237,109972017080_2
dti_fa mean,0.288432,109972017080_2
dti_fa sd,0.155801,109972017080_2
md mean,0.394994,109972017080_2
md sd,NA,109972017080_2
ad mean,0.445813,109972017080_2
ad sd,0.142291,109972017080_2
rd mean,0.311822,109972017080_2
rd sd,0.0979965,109972017080_2
gfa mean,0.0670586,109972017080_2
gfa sd,0.0226308,109972017080_2
iso mean,0.831102,109972017080_2
iso sd,0.168791,109972017080_2
rdi02L mean,0.669804,109972017080_2
rdi02L sd,NA,109972017080_2
rdi04L mean,0.931206,109972017080_2
rdi04L sd,0.274562,109972017080_2
rdi06L mean,1.05499,109972017080_2
rdi06L sd,0.212368,109972017080_2
rdi08L mean,1.05797,109972017080_2
rdi08L sd,0.216672,109972017080_2
rdi10L mean,1.05917,109972017080_2
rdi10L sd,0.217198,109972017080_2
rdi12L mean,1.05983,109972017080_2
rdi12L sd,0.217029,109972017080_2
nrdi02L mean,0.4442,109972017080_2
nrdi02L sd,0.146831,109972017080_2
nrdi04L mean,0.102382,109972017080_2
nrdi04L sd,0.0190637,109972017080_2
nrdi06L mean,0.00392817,109972017080_2
nrdi06L sd,0.0183087,109972017080_2
nrdi08L mean,0.00138322,109972017080_2
nrdi08L sd,0.00723402,109972017080_2
nrdi10L mean,0.000448035,109972017080_2
nrdi10L sd,0.00189113,109972017080_2
nrdi12L mean,0,109972017080_2
nrdi12L sd,0,109972017080_2
number of tracts,1635,109972017080_32
tract length mean(mm),69.694,109972017080_32
tract length sd(mm),6.20487,109972017080_32
tracts volume (mm^3),10976,109972017080_32
qa mean,0.281621,109972017080_32
qa sd,0.131283,109972017080_32
nqa mean,0.230735,109972017080_32
nqa sd,0.107562,109972017080_32
dti_fa mean,0.359871,109972017080_32
dti_fa sd,0.176984,109972017080_32
md mean,0.337478,109972017080_32
md sd,0.0843828,109972017080_32
ad mean,0.460549,109972017080_32
ad sd,0.0599971,109972017080_32
rd mean,0.275942,109972017080_32
rd sd,0.106476,109972017080_32
gfa mean,0.0794041,109972017080_32
gfa sd,0.033103,109972017080_32
iso mean,0.799529,109972017080_32
iso sd,0.0813721,109972017080_32
rdi02L mean,0.616154,109972017080_32
rdi02L sd,0.0408086,109972017080_32
rdi04L mean,0.976199,109972017080_32
rdi04L sd,0.0670049,109972017080_32
rdi06L mean,1.06384,109972017080_32
rdi06L sd,0.0797288,109972017080_32
rdi08L mean,1.06481,109972017080_32
rdi08L sd,0.0821184,109972017080_32
rdi10L mean,1.06507,109972017080_32
rdi10L sd,0.0829443,109972017080_32
rdi12L mean,1.06516,109972017080_32
rdi12L sd,0.083139,109972017080_32
nrdi02L mean,0.449005,109972017080_32
nrdi02L sd,0.0490635,109972017080_32
nrdi04L mean,0.088963,109972017080_32
nrdi04L sd,0.025358,109972017080_32
nrdi06L mean,0.00131759,109972017080_32
nrdi06L sd,0.00748055,109972017080_32
nrdi08L mean,0.000354107,109972017080_32
nrdi08L sd,0.00233326,109972017080_32
nrdi10L mean,8.67619e-05,109972017080_32
nrdi10L sd,0.00053051,109972017080_32
nrdi12L mean,0,109972017080_32
nrdi12L sd,0,109972017080_32
number of tracts,14967,109972017080_33
tract length mean(mm),44.671,109972017080_33
tract length sd(mm),19.2876,109972017080_33
tracts volume (mm^3),18384,109972017080_33
qa mean,0.266473,109972017080_33
qa sd,0.11056,109972017080_33
nqa mean,0.218329,109972017080_33
nqa sd,0.0905727,109972017080_33
dti_fa mean,0.333695,109972017080_33
dti_fa sd,0.112147,109972017080_33
md mean,0.343475,109972017080_33
md sd,0.0816793,109972017080_33
ad mean,0.464433,109972017080_33
ad sd,0.0792066,109972017080_33
rd mean,0.282987,109972017080_33
rd sd,0.0907853,109972017080_33
gfa mean,0.072942,109972017080_33
gfa sd,0.0226266,109972017080_33
iso mean,0.800866,109972017080_33
iso sd,0.0792999,109972017080_33
rdi02L mean,0.615879,109972017080_33
rdi02L sd,0.0617109,109972017080_33
rdi04L mean,0.972344,109972017080_33
rdi04L sd,0.0969427,109972017080_33
rdi06L mean,1.05489,109972017080_33
rdi06L sd,0.103881,109972017080_33
rdi08L mean,1.05595,109972017080_33
rdi08L sd,0.103647,109972017080_33
rdi10L mean,1.05675,109972017080_33
rdi10L sd,0.103187,109972017080_33
rdi12L mean,1.05725,109972017080_33
rdi12L sd,0.102929,109972017080_33
nrdi02L mean,0.441438,109972017080_33
nrdi02L sd,0.0466928,109972017080_33
nrdi04L mean,0.0848968,109972017080_33
nrdi04L sd,0.0223068,109972017080_33
nrdi06L mean,0.00235971,109972017080_33
nrdi06L sd,0.0109329,109972017080_33
nrdi08L mean,0.00128731,109972017080_33
nrdi08L sd,0.00581203,109972017080_33
nrdi10L mean,0.000498867,109972017080_33
nrdi10L sd,0.00216421,109972017080_33
nrdi12L mean,0,109972017080_33
nrdi12L sd,0,109972017080_33
number of tracts,307753,109972017080_34
tract length mean(mm),39.7229,109972017080_34
tract length sd(mm),21.7139,109972017080_34
tracts volume (mm^3),87544,109972017080_34
qa mean,0.219561,109972017080_34
qa sd,0.110049,109972017080_34
nqa mean,0.180446,109972017080_34
nqa sd,0.0897621,109972017080_34
dti_fa mean,0.269401,109972017080_34
dti_fa sd,0.167267,109972017080_34
md mean,0.370731,109972017080_34
md sd,0.104789,109972017080_34
ad mean,0.472565,109972017080_34
ad sd,NA,109972017080_34
rd mean,0.32729,109972017080_34
rd sd,0.116067,109972017080_34
